text,difficulty,result,sentiment
"Company Samsung. Role R&D Engineer. Experience level Fresher. Advanced coding round on Burst Balloons using dynamic programming. Tips practice DP matrix problems.",Hard,Rejected,Negative
"Company Juspay. Role SDE-1. Experience level Fresher. Hackathon round problem Maximum Weight Node in Graph from Tree of Space challenge. Tips strong graph fundamentals.",Hard,Selected,Positive
"Company Morgan Stanley. Role Technology Analyst. Experience level Fresher. Coding round question Meeting Rooms II using heaps and sorting. Tips know Java collections.",Medium,Selected,Positive
"Company Intuit. Role Software Engineer 2. Experience level Mid. System design round on designing BookMyShow with concurrency handling. Tips understand DB locking.",Hard,Selected,Positive
"Company Expedia. Role SDE II. Experience level Mid. Coding round question Coin Change using unbounded knapsack DP. Tips revise classic DP.",Medium,Selected,Positive
"Company Zoho. Role Software Developer. Experience level Fresher. Advanced programming round on printing Snake Pattern matrix. Tips avoid built-in shortcuts.",Hard,Selected,Positive
"Company Zoho. Role Software Developer. Experience level Fresher. Application development round on designing Railway Reservation System console app. Tips focus on logic clarity.",Hard,Selected,Positive
"Company Nvidia. Role System Software Engineer. Experience level Mid. Technical round question Reverse Bits involving low level operations. Tips strong C and memory concepts.",Medium,Selected,Positive
"Company PayPal. Role SDE-2. Experience level Mid. Coding round question Longest Substring Without Repeating Characters using sliding window. Tips master window technique.",Medium,Selected,Positive
"Company Bloomberg. Role Software Engineer. Experience level Mid. Coding round on Design Underground System using hash maps. Tips clean OOP design.",Medium,Selected,Positive
"Company Salesforce. Role MTS. Experience level Mid. Coding round question Merge Intervals using sorting. Tips practice interval patterns.",Medium,Selected,Positive
"Company ServiceNow. Role Software Engineer. Experience level Fresher. DSA round question Valid Anagram using hashmap or frequency array. Tips revise strings.",Easy,Selected,Positive
"Company Zomato. Role SDE-1. Experience level Fresher. Low level design round on designing Parking Lot system. Tips focus on extensibility.",Medium,Selected,Positive
"Company Swiggy. Role SDE-2. Experience level Mid. Machine coding round on designing Splitwise with debt simplification. Tips think in graphs.",Hard,Selected,Positive
"Company Arcesium. Role Software Engineer. Experience level Fresher. Coding round question Find All Anagrams in a String using sliding window. Tips optimize frequency arrays.",Medium,Rejected,Negative
"Company DE Shaw. Role QAE. Experience level Mid. Coding round question Best Time to Buy and Sell Stock III using DP. Tips DP state clarity.",Hard,Selected,Positive
"Company Tower Research. Role SDE. Experience level Mid. Coding round on Sliding Window Maximum using deque. Tips optimize to O(n).",Hard,Selected,Positive
"Company Sprinklr. Role Product Engineer. Experience level Fresher. Coding round question Minimum Window Substring. Tips prepare for hard LC problems.",Hard,Selected,Positive
"Company Media.net. Role Site Reliability Engineer. Experience level Mid. Coding round question Kth Largest Element using heap or quickselect. Tips know internals.",Medium,Selected,Positive
"Company Qualcomm. Role Engineer. Experience level Fresher. Coding round question Detect Loop in Linked List using Floyd algorithm. Tips revise pointers.",Easy,Selected,Positive
"Company IBM. Role Back End Developer. Experience level Mid. Coding round question Fizz Buzz and basic problems. Tips focus on fundamentals.",Easy,Selected,Positive
"Company Citrix. Role Software Engineer. Experience level Mid. DSA round question Product of Array Except Self using prefix and suffix. Tips handle zero cases.",Medium,Selected,Positive
"Company SAP Labs. Role Developer Associate. Experience level Fresher. Coding round question Palindrome Linked List. Tips stack or reverse half approach.",Medium,Selected,Positive
"Company Grab. Role Backend Engineer. Experience level Senior. System design round on Distributed Key Value Store with consistent hashing. Tips read Dynamo paper.",Hard,Selected,Positive
"Company Gojek. Role Product Engineer. Experience level Mid. Coding round question Construct Binary Tree from traversals. Tips recursion mastery.",Medium,Selected,Positive
"Company ByteDance. Role Software Engineer. Experience level Mid. Coding round question Maximal Square using DP on matrix. Tips DP optimization.",Medium,Rejected,Negative
"Company Shopee. Role Server Engineer. Experience level Mid. Coding round question Intersection of Two Linked Lists. Tips basic DS clarity.",Easy,Selected,Positive
"Company Stripe. Role Backend Engineer. Experience level Mid. Integration round on parsing HTTP headers. Tips focus on validation logic.",Medium,Selected,Positive
"Company Coinbase. Role Software Engineer. Experience level Mid. Coding round on designing Connect 4 game logic. Tips OOP based design.",Medium,Selected,Positive
"Company Robinhood. Role Android Engineer. Experience level Mid. System design round on Stock Price Ticker with real time updates. Tips concurrency handling.",Hard,Selected,Positive
"Company Palantir. Role Forward Deployed Engineer. Experience level New Grad. Decomposition round on Time Based Key Value Store. Tips binary search on timestamps.",Medium,Selected,Positive
"Company Databricks. Role Software Engineer. Experience level Mid. Coding round question Basic Calculator II using stack. Tips operator precedence.",Hard,Selected,Positive
"Company Nutanix. Role MTS. Experience level Mid. Coding round question Jump Game II using greedy. Tips O(n) solution expected.",Medium,Selected,Positive
"Company TCS. Role Systems Engineer. Experience level Fresher. TCS NQT coding round question Sweet Seventeen involving base 17 to decimal conversion. Tips focus on string conversion and math logic.",Easy,Selected,Positive
"Company Infosys. Role Specialist Programmer. Experience level Fresher. HackWithInfy coding round problem Minimum Withdrawals using dynamic programming. Tips practice DP deeply.",Hard,Selected,Positive
"Company Wipro. Role Project Engineer. Experience level Fresher. Coding round question Sort Array by Frequency using hashmap and custom sorting. Tips master frequency based sorting.",Medium,Selected,Positive
"Company Accenture. Role Associate Software Engineer. Experience level Fresher. Coding round question Find GCD of two numbers using Euclidean algorithm. Tips solve easy problems fast.",Easy,Selected,Positive
"Company Cognizant. Role GenC Next. Experience level Fresher. Coding round question ZigZag Conversion involving string pattern logic. Tips practice string manipulation.",Medium,Selected,Positive
"Company CRED. Role Backend Engineer. Experience level Mid. Machine coding round to design a Ledger System handling concurrency and consistency. Tips follow SOLID principles.",Hard,Rejected,Negative
"Company Razorpay. Role SDE-2. Experience level Mid. System design round on Webhook Delivery System with retries and exponential backoff. Tips focus on reliability.",Hard,Selected,Positive
"Company Groww. Role Software Engineer. Experience level Mid. Coding round question Rotate Image by 90 degrees in place. Tips matrix manipulation without extra space.",Medium,Selected,Positive
"Company Zerodha. Role Tech Team. Experience level Mid. Technical discussion on Database Indexing internals like B-Trees vs LSM Trees. Tips understand internals deeply.",Hard,Selected,Positive
"Company Urban Company. Role SDE-1. Experience level Fresher. Machine coding round to design a Task Scheduler handling dependencies. Tips write modular code.",Medium,Selected,Positive
"Company Meesho. Role SDE-2. Experience level Mid. DSA round problem Minimum Cost to Connect Ropes using heap. Tips master priority queues.",Medium,Selected,Positive
"Company Dream11. Role SDE. Experience level Mid. System design round on Real-time Leaderboard using Redis sorted sets. Tips strong Redis concepts.",Medium,Selected,Positive
"Company InMobi. Role SDE-1. Experience level Fresher. Coding round question House Robber using dynamic programming. Tips optimize DP space.",Medium,Selected,Positive
"Company JP Morgan Chase. Role Software Engineer. Experience level Fresher. Coding round question Next Permutation using lexicographical pattern. Tips understand permutations.",Medium,Selected,Positive
"Company Wells Fargo. Role Program Associate. Experience level Fresher. Coding round question Letter Combinations of Phone Number using backtracking. Tips recursion clarity.",Medium,Selected,Positive
"Company Bank of America. Role Senior Tech Associate. Experience level Senior. System design round on Fraud Detection System using Kafka streams. Tips domain knowledge helps.",Hard,Selected,Positive
"Company Barclays. Role BA4 Developer. Experience level Mid. Coding round question Subarray Sum Equals K using prefix sum and hashmap. Tips prefix sum mastery.",Medium,Selected,Positive
"Company Deutsche Bank. Role Analyst. Experience level Fresher. Coding round question Minimum Path Sum using grid dynamic programming. Tips grid DP practice.",Medium,Selected,Positive
"Company Intel. Role Software Engineer. Experience level Mid. Technical round question Single Number using XOR bit manipulation. Tips bitwise tricks.",Easy,Selected,Positive
"Company AMD. Role Design Engineer. Experience level Mid. Coding round question Power of Two using bit manipulation. Tips binary representation.",Easy,Selected,Positive
"Company Dell. Role Software Engineer. Experience level Fresher. Coding round question Remove Duplicates from Sorted Array using two pointers. Tips space optimization.",Easy,Selected,Positive
"Company HP. Role R&D Engineer. Experience level Mid. Coding round question Implement Queue using Stacks. Tips stack to queue conversion.",Easy,Selected,Positive
"Company Honeywell. Role Advanced Software Engineer. Experience level Mid. Coding round question Longest Consecutive Sequence using hashset. Tips avoid sorting.",Medium,Selected,Positive
"Company Siemens. Role Developer. Experience level Mid. Coding round question Climbing Stairs using DP. Tips identify base cases.",Easy,Selected,Positive
"Company Bosch. Role Embedded Engineer. Experience level Mid. Technical round on checking system endianness. Tips low-level memory concepts.",Medium,Selected,Positive
"Company Mercedes-Benz R&D. Role Software Engineer. Experience level Mid. Coding round question Shortest Path in Binary Matrix using BFS. Tips pathfinding algorithms.",Medium,Selected,Positive
"Company ShareChat. Role Backend Engineer. Experience level Mid. System design round on designing News Feed with caching strategies. Tips Redis discussion.",Hard,Selected,Positive
"Company Udaan. Role Product Engineer. Experience level Mid. Machine coding round to design in-memory message queue with concurrency. Tips thread safety.",Hard,Rejected,Negative
"Company Capgemini. Role Senior Analyst. Experience level Mid. Coding round question Balanced Parentheses using stack. Tips standard stack patterns.",Easy,Selected,Positive
"Company Mindtree. Role Engineer. Experience level Fresher. Coding round on Hollow Diamond pattern printing. Tips loop logic.",Easy,Selected,Positive
"Company L&T Infotech. Role Software Engineer. Experience level Mid. Coding round question Remove Nth Node From End using two pointers. Tips linked list mastery.",Medium,Selected,Positive
"Company Deloitte. Role Analyst. Experience level Fresher. Coding round question Find Missing Number using sum or XOR. Tips avoid overflow.",Easy,Selected,Positive
"Company HCL Tech. Role Developer. Experience level Mid. Coding round question Intersection of Two Arrays using hashsets. Tips collections framework.",Easy,Selected,Positive
"Company Fidelity Investments. Role Software Engineer. Experience level Mid. DSA round question Search a 2D Matrix using binary search. Tips binary search variants.",Medium,Selected,Positive
"Company BlackRock. Role Analyst. Experience level Fresher. Coding round question Stock Span using monotonic stack. Tips stack patterns.",Medium,Selected,Positive
"Company UBS. Role IT Analyst. Experience level Mid. Coding round question Longest Common Subsequence using DP. Tips string DP.",Medium,Selected,Positive
"Company Citi. Role App Dev Manager. Experience level Senior. System design round on Notification Service using message queues. Tips Kafka or RabbitMQ.",Medium,Selected,Positive
"Company American Express. Role Engineer III. Experience level Mid. Coding round question Container With Most Water using two pointers. Tips greedy logic.",Medium,Selected,Positive
"Company Myntra. Role Software Engineer. Experience level Mid. Coding round question Top K Frequent Elements using heap or bucket sort. Tips heap mastery.",Medium,Selected,Positive
"Company Nykaa. Role SDE-2. Experience level Mid. DSA round question Sort Colors using Dutch National Flag algorithm. Tips in-place sorting.",Medium,Selected,Positive
"Company Amazon. Role SDE-1. Experience level Fresher. OA round question Critical Connections in a Network using Tarjan's algorithm for bridges. Tips The graph problem was very hard and I ran out of time.",Hard,Rejected,Negative 
"Company Google. Role Software Engineer. Experience level Mid. Onsite round question Median of Two Sorted Arrays using binary search. Tips Struggled with edge cases and the interviewer was not very helpful.",Hard,Rejected,Negative
 "Company Meta. Role Production Engineer. Experience level Mid. Coding round question Regular Expression Matching using dynamic programming. Tips Recursive solution TLEd, couldn't optimize to DP in time.",Hard,Rejected,Negative 
"Company Netflix. Role Senior Software Engineer. Experience level Senior. System Design round question Design a Distributed Key-Value Store using consistent hashing and gossip protocol. Tips Deep dive into internals was brutal, expected paper-level knowledge.",Hard,Rejected,Negative
 "Company Uber. Role Backend Engineer. Experience level Mid. Machine Coding round question Design a Ride Matching Algorithm using geospatial indexing. Tips Code structure was messy due to time pressure.",Hard,Rejected,Negative
 "Company Microsoft. Role SDE-2. Experience level Mid. System Design round question Design a Web Crawler using BFS and polite constraints. Tips Focused too much on breadth instead of depth, interviewer seemed unimpressed.",Medium,Rejected,Negative
 "Company LinkedIn. Role UI Engineer. Experience level Mid. Coding round question Text Justification using greedy approach with string manipulation. Tips Very tedious to implement, lots of bugs during dry run.",Hard,Rejected,Negative 
"Company Apple. Role ICT. Experience level Fresher. Coding round question Sudoku Solver using backtracking. Tips Backtracking logic was correct but code was too slow, needed bitmask optimization.",Medium,Rejected,Negative 
"Company Twitter. Role Site Reliability Engineer. Experience level Mid. Coding round question Sliding Window Maximum using monotonic queue (deque). Tips Forgot the deque approach and used a heap, which was O(n log n) instead of O(n).",Hard,Rejected,Negative 
"Company Salesforce. Role MTS. Experience level Mid. Coding round question Alien Dictionary using topological sort. Tips Confused the graph construction part and couldn't recover.",Hard,Rejected,Negative
 "Company Adobe. Role Member of Technical Staff. Experience level Fresher. Coding round question Palindrome Partitioning II using dynamic programming. Tips Couldn't derive the state transition equation.",Hard,Rejected,Negative
 "Company Intuit. Role Senior Software Engineer. Experience level Senior. System Design round question Design an E-commerce Checkout System using distributed transactions. Tips Failed to handle the distributed locking mechanism correctly.",Hard,Rejected,Negative
 "Company Oracle. Role Server Technology. Experience level Mid. Coding round question Copy List with Random Pointer using hash map and interleaving. Tips Pointer manipulation got very confusing.",Medium,Rejected,Negative
 "Company PayPal. Role SDE-2. Experience level Mid. Coding round question Word Break II using recursion with memoization. Tips TLE on large test cases, needed better pruning.",Hard,Rejected,Negative
 "Company Cisco. Role Software Engineer. Experience level Fresher. Technical round question Reverse Nodes in k-Group using iterative linked list reversal. Tips Got stuck on the edge case where the last group is smaller than k.",Medium,Rejected,Negative
 "Company Walmart. Role SDE-3. Experience level Senior. System Design round question Design a Warehouse Management System using microservices. Tips Struggled to explain how to handle race conditions in inventory.",Medium,Rejected,Negative
 "Company Flipkart. Role SDE-1. Experience level Fresher. Machine Coding round question Design Snakes and Ladders using object-oriented principles. Tips Failed the modularity check, code was too monolithic.",Hard,Rejected,Negative
 "Company Paytm. Role Backend Developer. Experience level Mid. Coding round question Largest Rectangle in Histogram using stack. Tips Forgot the stack based approach completely.",Medium,Rejected,Negative 
"Company Zomato. Role SDE-2. Experience level Mid. LLD round question Design a Food Delivery App using state design pattern. Tips Design was not extensible enough for new features.",Medium,Rejected,Negative
 "Company Swiggy. Role SDE-1. Experience level Fresher. Coding round question Burn the Binary Tree using graph BFS. Tips Could not convert the tree to a graph representation in time.",Hard,Rejected,Negative 
"Company Ola. Role SDE-1. Experience level Fresher. Coding round question Minimum Number of Refueling Stops using max heap greedy. Tips Used DP which was O(N^2) instead of the required greedy O(N log N).",Hard,Rejected,Negative
 "Company CRED. Role Backend Engineer. Experience level Mid. Machine Coding round question Design a Expense Sharing App using concurrency handling. Tips Test cases failed due to thread synchronization issues.",Hard,Rejected,Negative
 "Company Razorpay. Role Senior Engineer. Experience level Senior. System Design round question Design a Payment Reconciliation System using batch processing. Tips Failed to account for double counting in corner cases.",Hard,Rejected,Negative
 "Company Zerodha. Role Tech Team. Experience level Mid. Technical round question Implement a Custom Garbage Collector using mark and sweep. Tips Question was too low-level, had no idea where to start.",Hard,Rejected,Negative
 "Company PhonePe. Role Software Engineer. Experience level Mid. Coding round question Count of Range Sum using merge sort. Tips The logic was extremely complex to implement in 45 minutes.",Hard,Rejected,Negative
 "Company Byju's. Role Ruby Developer. Experience level Mid. Coding round question LFU Cache using double linked list and hash maps. Tips Design was correct but implementation had too many bugs.",Hard,Rejected,Negative
 "Company Unacademy. Role Backend Engineer. Experience level Mid. System Design round question Design a Live Class Polling System using websockets. Tips Underestimated the load balancing aspect.",Medium,Rejected,Negative
 "Company Udaan. Role Product Engineer. Experience level Mid. Machine Coding round question Design a Parking Lot using strategy pattern. Tips Code was working but not clean enough according to their standards.",Hard,Rejected,Negative
 "Company ShareChat. Role Data Engineer. Experience level Mid. Coding round question Wildcard Matching using 2D dynamic programming. Tips Missed the initialization case for the DP table.",Hard,Rejected,Negative 
"Company MPL. Role SDE-2. Experience level Mid. System Design round question Design a Real-time Multiplayer Game using UDP vs TCP. Tips Chose TCP for real-time which was the wrong trade-off.",Medium,Rejected,Negative
 "Company Dream11. Role SDE-1. Experience level Fresher. Coding round question Burst Balloons using matrix chain multiplication DP. Tips Completely blanked out on the recurrence relation.",Hard,Rejected,Negative 
"Company Juspay. Role SDE-1. Experience level Fresher. Hackathon round question Tree of Space using n-ary tree locking logic. Tips The thread safety requirement for locking nodes was very tricky.",Hard,Rejected,Negative
 "Company Media.net. Role Site Reliability Engineer. Experience level Mid. Coding round question Word Search II using Trie and backtracking. Tips TLE because I didn't optimize the Trie pruning.",Hard,Rejected,Negative
 "Company Tower Research. Role Quantitative Developer. Experience level Mid. Coding round question Skyline Problem using divide and conquer. Tips The merge step was too complicated to debug.",Hard,Rejected,Negative 
"Company DE Shaw. Role QAE. Experience level Mid. Coding round question Scramble String using 3D memoization. Tips This is one of the hardest DP problems, couldn't solve it.",Hard,Rejected,Negative
 "Company Arcesium. Role Software Engineer. Experience level Fresher. Coding round question Maximal Rectangle using histogram logic. Tips Struggled to reuse the logic from largest rectangle in histogram.",Medium,Rejected,Negative 
"Company Goldman Sachs. Role Analyst. Experience level Fresher. Coding round question Median in a Stream using two heaps. Tips Got confused balancing the min-heap and max-heap.",Medium,Rejected,Negative
 "Company Morgan Stanley. Role Technology Associate. Experience level Mid. Coding round question Design Twitter using hash maps and heaps. Tips Design was okay but couldn't write the full working code in time.",Medium,Rejected,Negative
 "Company JPMC. Role Software Engineer. Experience level Fresher. Coding round question Merge k Sorted Lists using min-heap. Tips Java PriorityQueue syntax error cost me time.",Medium,Rejected,Negative
 "Company Wells Fargo. Role Program Associate. Experience level Fresher. Coding round question Course Schedule using cycle detection. Tips Failed to handle the disconnected graph case.",Medium,Rejected,Negative
"Company Google. Role Software Engineer. Experience level Mid. Coding round question Find Median from Data Stream using two heaps. I explained the approach but struggled implementing heap balancing correctly under pressure. Interviewer pointed out edge cases which I missed. Time ran out before a working solution.",Hard,Rejected,Negative
"Company Amazon. Role SDE-2. Experience level Mid. System design round on designing a scalable notification service. I covered basic architecture but failed to justify retry strategies and idempotency clearly. Interviewer expected deeper discussion on failure handling.",Hard,Rejected,Negative
"Company Microsoft. Role SDE-1. Experience level Fresher. Coding round question Merge Intervals. Approach was correct but code had multiple bugs during dry run. Nervousness caused simple mistakes.",Medium,Rejected,Negative
"Company Meta. Role Software Engineer. Experience level Mid. Coding round on LRU Cache. I knew the concept but pointer manipulation in doubly linked list got confusing. Could not complete implementation.",Hard,Rejected,Negative
"Company Uber. Role Backend Engineer. Experience level Mid. System design round on designing a ride matching service. I focused too much on APIs and skipped data consistency issues. Interviewer expected stronger reasoning on geo indexing.",Hard,Rejected,Negative
"Company Netflix. Role Senior Engineer. Experience level Senior. System design round on distributed logging system. I underestimated scale and failed to address backpressure and storage costs.",Hard,Rejected,Negative
"Company LinkedIn. Role Backend Engineer. Experience level Mid. Coding round question Word Ladder. I attempted BFS but implementation was inefficient and resulted in TLE during discussion.",Hard,Rejected,Negative
"Company Apple. Role Software Engineer. Experience level Mid. Coding round question Regular Expression Matching. I identified DP but could not derive correct state transitions.",Hard,Rejected,Negative
"Company Salesforce. Role MTS. Experience level Mid. Coding round on Alien Dictionary. Graph construction was incorrect and I confused indegree calculation.",Hard,Rejected,Negative
"Company Oracle. Role Software Engineer. Experience level Mid. Coding round question Copy List with Random Pointer. Logic was explained but implementation had pointer errors.",Medium,Rejected,Negative
"Company PayPal. Role Backend Engineer. Experience level Mid. Coding round question Word Break II. Recursive solution worked but had exponential complexity. I couldn't optimize with memoization in time.",Hard,Rejected,Negative
"Company Cisco. Role Software Engineer. Experience level Fresher. Coding round question Reverse Nodes in K Group. Missed the edge case when remaining nodes are less than k.",Medium,Rejected,Negative
"Company Flipkart. Role SDE-1. Experience level Fresher. Machine coding round to design Snake and Ladder game. Code was functional but not modular and failed LLD evaluation.",Hard,Rejected,Negative
"Company PhonePe. Role Backend Engineer. Experience level Mid. Coding round question Count of Range Sum. I knew merge sort approach but implementation complexity overwhelmed me.",Hard,Rejected,Negative
"Company CRED. Role Backend Engineer. Experience level Mid. Machine coding round to design expense sharing system. Concurrency handling was weak and race conditions were pointed out.",Hard,Rejected,Negative
"Company Swiggy. Role SDE-2. Experience level Mid. Coding round on Burn Binary Tree. I struggled converting tree to graph and BFS logic remained incomplete.",Hard,Rejected,Negative
"Company Razorpay. Role Software Engineer. Experience level Senior. System design round on payment reconciliation. I failed to consider duplicate events and eventual consistency.",Hard,Rejected,Negative
"Company Zomato. Role Backend Engineer. Experience level Mid. LLD round on food delivery app. Design worked but lacked extensibility and clean abstractions.",Medium,Rejected,Negative
"Company Goldman Sachs. Role Analyst. Experience level Fresher. Coding round question Median in a Stream. Heap balancing logic was confusing and solution remained partial.",Medium,Rejected,Negative
"Company Tower Research. Role SDE. Experience level Mid. Coding round on Sliding Window Maximum. I used heap instead of deque leading to inefficient solution.",Hard,Rejected,Negative
"Company Google. Role Software Engineer. Experience level Fresher. Coding round question Longest Substring Without Repeating Characters. I explained sliding window but implementation had index handling bugs and interviewer had to intervene.",Medium,Rejected,Negative
"Company Amazon. Role SDE-1. Experience level Fresher. Coding round question Two Sum in sorted array. I initially used hash map instead of two pointers and wasted time correcting approach.",Easy,Rejected,Negative
"Company Microsoft. Role Software Engineer. Experience level Mid. System design round on URL Shortener. I missed discussion on database sharding and rate limiting.",Medium,Rejected,Negative
"Company Meta. Role Software Engineer. Experience level Mid. Coding round question Kth Largest Element in Array. I used sorting instead of heap and could not optimize when prompted.",Medium,Rejected,Negative
"Company Uber. Role Backend Engineer. Experience level Mid. Coding round question Course Schedule. I confused DFS cycle detection logic and produced incorrect result.",Medium,Rejected,Negative
"Company Netflix. Role Senior Engineer. Experience level Senior. System design round on video streaming service. I underestimated CDN role and buffering strategies.",Hard,Rejected,Negative
"Company LinkedIn. Role Software Engineer. Experience level Mid. Coding round question Merge K Sorted Lists. I knew heap approach but syntax mistakes slowed me down.",Hard,Rejected,Negative
"Company Apple. Role Software Engineer. Experience level Mid. Coding round question Maximum Product Subarray. I struggled handling negative numbers and edge cases.",Medium,Rejected,Negative
"Company Salesforce. Role Software Engineer. Experience level Fresher. Coding round question Valid Parentheses. Solution was correct but interviewer expected cleaner explanation and edge case handling.",Easy,Rejected,Negative
"Company Oracle. Role Software Engineer. Experience level Mid. Coding round question Detect Cycle in Linked List. I explained Floyd’s algorithm but failed to code it correctly.",Easy,Rejected,Negative
"Company Paytm. Role Backend Engineer. Experience level Mid. Machine coding round to design wallet system. I failed to properly separate concerns and business logic.",Hard,Rejected,Negative
"Company Cisco. Role Software Engineer. Experience level Mid. Coding round question Lowest Common Ancestor of Binary Tree. Recursion logic was partially incorrect.",Medium,Rejected,Negative
"Company Flipkart. Role SDE-2. Experience level Mid. Coding round question Next Greater Element. I attempted brute force initially and optimized too late.",Medium,Rejected,Negative
"Company PhonePe. Role Backend Engineer. Experience level Mid. System design round on UPI transaction flow. I missed timeout handling and duplicate transaction prevention.",Hard,Rejected,Negative
"Company CRED. Role Software Engineer. Experience level Mid. Coding round question Subarray Sum Equals K. Prefix sum logic was correct but implementation had off-by-one error.",Medium,Rejected,Negative
"Company Swiggy. Role SDE-1. Experience level Fresher. Coding round question Binary Tree Level Order Traversal. Code worked but explanation lacked clarity.",Easy,Rejected,Negative
"Company Razorpay. Role Backend Engineer. Experience level Mid. Coding round question Design Hit Counter. I failed to optimize memory usage when scale increased.",Medium,Rejected,Negative
"Company Zomato. Role Software Engineer. Experience level Mid. Coding round question Find Duplicate Number. I used extra space instead of Floyd’s cycle method.",Medium,Rejected,Negative
